GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-app-routing-api,org.onosproject.routing,FibEntry,87,0,8,0,20,0,11,0,7,0
onos-app-routing-api,org.onosproject.routing,FibUpdate,66,0,6,0,16,0,9,0,6,0
onos-app-routing-api,org.onosproject.routing,RouteUpdate,73,0,8,0,18,0,10,0,6,0
onos-app-routing-api,org.onosproject.routing,RoutingService,3,0,0,0,1,0,1,0,1,0
onos-app-routing-api,org.onosproject.routing,RouteUpdate.Type,38,0,0,0,3,0,4,0,4,0
onos-app-routing-api,org.onosproject.routing,FibUpdate.Type,38,0,0,0,3,0,4,0,4,0
onos-app-routing-api,org.onosproject.routing,RouteEntry,30,121,3,15,6,27,7,12,4,6
onos-app-routing-api,org.onosproject.routing.config,InterfaceAddress,80,0,8,0,20,0,10,0,6,0
onos-app-routing-api,org.onosproject.routing.config,Interface,109,0,10,0,24,0,13,0,8,0
onos-app-routing-api,org.onosproject.routing.config,LocalIpPrefixEntry,86,0,8,0,22,0,13,0,9,0
onos-app-routing-api,org.onosproject.routing.config,BgpSpeaker,117,0,10,0,27,0,14,0,9,0
onos-app-routing-api,org.onosproject.routing.config,BgpConfig.BgpSpeakerConfig,27,0,0,0,8,0,4,0,4,0
onos-app-routing-api,org.onosproject.routing.config,BgpPeer,79,0,8,0,20,0,10,0,6,0
onos-app-routing-api,org.onosproject.routing.config,LocalIpPrefixEntry.IpPrefixType,48,0,0,0,4,0,4,0,4,0
onos-app-routing-api,org.onosproject.routing.config,BgpConfig,58,0,2,0,14,0,5,0,4,0
