GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-app-routing,org.onosproject.routing.impl,StaticRouter,18,0,0,0,9,0,8,0,8,0
onos-app-routing,org.onosproject.routing.impl,Router.InternalHostListener,19,41,4,3,4,9,3,3,0,2
onos-app-routing,org.onosproject.routing.impl,Router.new Object() {...},5,39,0,0,0,2,0,1,0,1
onos-app-routing,org.onosproject.routing.impl,Router.InternalRouteListener,5,6,0,0,2,1,1,1,1,1
onos-app-routing,org.onosproject.routing.impl,Router,164,542,26,43,30,131,30,35,13,17
onos-app-routing,org.onosproject.routing.config.impl,Configuration,54,0,0,0,23,0,11,0,11,0
onos-app-routing,org.onosproject.routing.config.impl,RoutingConfigurationImpl,386,0,28,0,78,0,42,0,28,0
onos-app-routing,org.onosproject.routing.config.impl,RoutingConfigurationImpl.new ConfigFactory() {...},13,0,0,0,2,0,2,0,2,0
onos-app-routing,org.onosproject.routing.bgp,BgpRouteEntry,18,370,17,61,11,84,18,35,1,13
onos-app-routing,org.onosproject.routing.bgp,BgpFrameDecoder,103,111,8,11,33,31,8,6,0,3
onos-app-routing,org.onosproject.routing.bgp,BgpSessionInfo,0,102,0,0,0,42,0,26,0,26
onos-app-routing,org.onosproject.routing.bgp,BgpConstants.Notifications,3,0,0,0,2,0,1,0,1,0
onos-app-routing,org.onosproject.routing.bgp,BgpSession.SessionTimeoutTask,38,9,4,0,12,3,3,1,1,1
onos-app-routing,org.onosproject.routing.bgp,BgpNotification,108,0,4,0,30,0,7,0,5,0
onos-app-routing,org.onosproject.routing.bgp,BgpMessage,3,34,0,2,2,12,1,3,1,2
onos-app-routing,org.onosproject.routing.bgp,BgpMessage.BgpParseException,7,0,0,0,4,0,2,0,2,0
onos-app-routing,org.onosproject.routing.bgp,BgpRouteEntry.PathSegment,19,58,3,5,3,15,4,6,1,5
onos-app-routing,org.onosproject.routing.bgp,BgpUpdate.DecodedBgpRoutes,0,23,0,0,0,5,0,1,0,1
onos-app-routing,org.onosproject.routing.bgp,BgpRouteEntry.AsPath,13,68,3,8,3,23,4,9,1,5
onos-app-routing,org.onosproject.routing.bgp,BgpConstants.Update.LocalPref,3,0,0,0,2,0,1,0,1,0
onos-app-routing,org.onosproject.routing.bgp,BgpConstants.Update,3,0,0,0,2,0,1,0,1,0
onos-app-routing,org.onosproject.routing.bgp,BgpUpdate.MpNlri,0,19,0,0,0,6,0,1,0,1
onos-app-routing,org.onosproject.routing.bgp,BgpSessionManager,52,290,9,9,14,76,11,22,3,21
onos-app-routing,org.onosproject.routing.bgp,BgpUpdate,1398,707,123,92,396,193,107,38,17,11
onos-app-routing,org.onosproject.routing.bgp,BgpSession.TransmitKeepaliveTask,24,9,4,0,8,3,3,1,1,1
onos-app-routing,org.onosproject.routing.bgp,BgpRouteSelector,33,169,7,23,11,48,5,16,0,6
onos-app-routing,org.onosproject.routing.bgp,BgpConstants,3,0,0,0,2,0,1,0,1,0
onos-app-routing,org.onosproject.routing.bgp,BgpConstants.Open.OptionalParameters,3,0,0,0,1,0,1,0,1,0
