GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-api,org.onosproject.net.resource,ResourceType,9,39,0,0,0,5,2,2,2,2
onos-api,org.onosproject.net.resource,ResourceAllocationException,12,0,0,0,6,0,3,0,3,0
onos-api,org.onosproject.net.resource,ResourceException,12,0,0,0,6,0,3,0,3,0
onos-api,org.onosproject.net.config,SubjectFactory,18,0,0,0,7,0,4,0,4,0
onos-api,org.onosproject.net.config,NetworkConfigEvent,20,0,0,0,7,0,3,0,3,0
onos-api,org.onosproject.net.config,Config,257,0,18,0,54,0,31,0,22,0
onos-api,org.onosproject.net.config,NetworkConfigEvent.Type,68,0,0,0,6,0,4,0,4,0
onos-api,org.onosproject.net.config,ConfigFactory,34,0,0,0,12,0,6,0,6,0
onos-api,org.onosproject.mastership,MastershipService,9,0,2,0,1,0,2,0,1,0
onos-api,org.onosproject.mastership,MastershipEvent.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.mastership,MastershipEvent,44,0,0,0,13,0,4,0,4,0
onos-api,org.onosproject.mastership,MastershipTerm,0,80,0,8,0,19,0,11,0,7
onos-api,org.onosproject.net.flowobjective,ObjectiveEvent,11,0,0,0,4,0,2,0,2,0
onos-api,org.onosproject.net.flowobjective,Objective.Operation,9,29,0,0,0,3,2,2,2,2
onos-api,org.onosproject.net.flowobjective,ObjectiveEvent.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.net.flowobjective,ObjectiveContext,2,0,0,0,2,0,2,0,2,0
onos-api,org.onosproject.net.flowobjective,ObjectiveError,88,0,0,0,9,0,4,0,4,0
onos-api,org.onosproject.net.flowobjective,DefaultNextObjective.Builder,4,171,2,2,1,41,3,11,1,11
onos-api,org.onosproject.net.flowobjective,FilteringObjective.Type,9,29,0,0,0,3,2,2,2,2
onos-api,org.onosproject.net.flowobjective,DefaultForwardingObjective.Builder,21,181,12,4,2,45,9,12,1,12
onos-api,org.onosproject.net.flowobjective,DefaultFilteringObjective.Builder,14,187,4,4,4,46,6,11,2,11
onos-api,org.onosproject.net.flowobjective,DefaultForwardingObjective,0,134,0,0,0,26,0,13,0,13
onos-api,org.onosproject.net.flowobjective,DefaultNextObjective,0,57,0,0,0,18,0,11,0,11
onos-api,org.onosproject.net.flowobjective,NextObjective.Type,9,49,0,0,0,5,2,2,2,2
onos-api,org.onosproject.net.flowobjective,DefaultFilteringObjective,0,117,0,0,0,24,0,12,0,12
onos-api,org.onosproject.net.flowobjective,ForwardingObjective.Flag,9,29,0,0,0,3,2,2,2,2
onos-api,org.onosproject.net.newresource,ResourceAllocation,15,66,1,7,6,16,4,7,3,4
onos-api,org.onosproject.net.newresource,ResourceAdminService,12,0,0,0,2,0,2,0,2,0
onos-api,org.onosproject.net.newresource,ResourceService,77,0,12,0,17,0,11,0,5,0
onos-api,org.onosproject.net.newresource,ResourcePath,26,86,2,6,10,22,5,11,3,9
onos-api,org.onosproject.net.newresource,ResourceService.new Object() {...},8,0,2,0,1,0,2,0,1,0
onos-api,org.onosproject.net.edge,EdgePortEvent.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.net.edge,EdgePortEvent,11,0,0,0,4,0,2,0,2,0
onos-api,org.onosproject.net.topology,DefaultTopologyVertex,0,41,0,4,0,12,0,7,0,5
onos-api,org.onosproject.net.topology,ClusterId,0,53,0,4,0,13,0,8,0,6
onos-api,org.onosproject.net.topology,TopologyEvent,20,0,0,0,7,0,3,0,3,0
onos-api,org.onosproject.net.topology,DefaultTopologyCluster,0,118,1,11,0,26,1,13,0,8
onos-api,org.onosproject.net.topology,DefaultTopologyEdge,0,61,0,4,0,16,0,9,0,7
onos-api,org.onosproject.net.topology,DefaultGraphDescription,3,133,0,6,1,32,1,11,1,8
onos-api,org.onosproject.net.topology,TopologyEvent.Type,28,0,0,0,2,0,4,0,4,0
onos-api,org.onosproject.codec,JsonCodec,40,51,8,4,6,11,8,5,4,3
onos-api,org.onosproject.net.link,LinkEvent.Type,9,39,0,0,0,4,2,2,2,2
onos-api,org.onosproject.net.link,DefaultLinkDescription,16,22,0,0,4,8,1,4,1,4
onos-api,org.onosproject.net.link,LinkEvent,0,11,0,0,0,4,0,2,0,2
onos-api,org.onosproject.ui.topo,AbstractHighlight,10,19,0,0,4,6,3,2,3,2
onos-api,org.onosproject.ui.topo,BaseLinkMap,9,0,0,0,2,0,2,0,2,0
onos-api,org.onosproject.ui.topo,ButtonId,13,32,3,3,4,9,4,4,1,4
onos-api,org.onosproject.ui.topo,TopoJson,160,64,10,2,37,17,14,5,9,4
onos-api,org.onosproject.ui.topo,PropertyPanel.Prop,36,43,5,5,6,10,7,4,2,4
onos-api,org.onosproject.ui.topo,TopoConstants,3,0,0,0,1,0,1,0,1,0
onos-api,org.onosproject.ui.topo,NodeHighlight,0,5,0,0,0,2,0,1,0,1
onos-api,org.onosproject.ui.topo,HostHighlight,0,5,0,0,0,2,0,1,0,1
onos-api,org.onosproject.ui.topo,TopoConstants.Glyphs,3,0,0,0,1,0,1,0,1,0
onos-api,org.onosproject.ui.topo,BiLinkMap,0,51,0,4,0,12,0,6,0,4
onos-api,org.onosproject.ui.topo,LinkHighlight,2,76,1,1,0,17,1,9,0,9
onos-api,org.onosproject.ui.topo,DeviceHighlight,0,5,0,0,0,2,0,1,0,1
onos-api,org.onosproject.ui.topo,Mod,6,38,2,4,2,10,3,5,1,4
onos-api,org.onosproject.ui.topo,LinkHighlight.Flavor,9,48,0,0,0,8,2,3,2,3
onos-api,org.onosproject.ui.topo,NodeSelection,56,286,4,30,11,67,5,26,1,13
onos-api,org.onosproject.ui.topo,Highlights,15,92,0,2,3,19,2,12,2,11
onos-api,org.onosproject.ui.topo,TopoUtils,153,61,18,2,31,7,13,4,4,3
onos-api,org.onosproject.ui.topo,TopoConstants.CoreButtons,24,0,0,0,5,0,2,0,2,0
onos-api,org.onosproject.ui.topo,TopoElementType,9,39,0,0,0,2,2,2,2,2
onos-api,org.onosproject.ui.topo,BaseLink,7,0,0,0,3,0,2,0,2,0
onos-api,org.onosproject.ui.topo,PropertyPanel,0,213,0,8,0,53,0,25,0,21
onos-api,org.onosproject.ui.topo,BiLink,0,32,0,0,0,10,0,6,0,6
onos-api,org.onosproject.ui.topo,Highlights.Amount,9,48,0,0,0,8,2,3,2,3
onos-api,org.onosproject.ui.topo,PropertyPanel.Separator,0,5,0,0,0,2,0,1,0,1
onos-api,org.onosproject.ui.topo,TopoConstants.Properties,3,0,0,0,1,0,1,0,1,0
onos-api,org.onosproject.net.behaviour,IpTunnelEndPoint,51,0,4,0,13,0,8,0,6,0
onos-api,org.onosproject.net.behaviour,TunnelName,54,0,8,0,14,0,10,0,6,0
onos-api,org.onosproject.net.behaviour,DefaultNextGroup,9,0,0,0,4,0,2,0,2,0
onos-api,org.onosproject.net.behaviour,DefaultTunnelDescription,48,0,0,0,16,0,6,0,6,0
onos-api,org.onosproject.net.behaviour,BridgeName,60,0,8,0,16,0,10,0,6,0
onos-api,org.onosproject.net.behaviour,TunnelDescription.Type,78,0,0,0,7,0,4,0,4,0
onos-api,org.onosproject.net.behaviour,DefaultBridgeDescription,98,0,12,0,21,0,13,0,7,0
onos-api,org.onosproject.net.behaviour,ControllerInfo,85,116,6,14,10,25,8,10,3,5
onos-api,org.onosproject.net.behaviour,QueueInfo,21,0,0,0,8,0,1,0,1,0
onos-api,org.onosproject.net.behaviour,QueueInfo.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.net.driver,XmlDriverLoader,7,207,3,9,0,44,2,12,0,8
onos-api,org.onosproject.net.driver,AbstractHandlerBehaviour,4,14,1,1,1,4,2,2,1,2
onos-api,org.onosproject.net.driver,DefaultDriverProvider,12,51,0,2,4,11,2,6,2,5
onos-api,org.onosproject.net.driver,AbstractBehaviour,4,14,1,1,1,4,2,2,1,2
onos-api,org.onosproject.net.driver,DefaultDriver,34,262,7,15,2,59,6,24,0,19
onos-api,org.onosproject.net.driver,DefaultDriverHandler,8,29,0,0,2,7,2,5,2,5
onos-api,org.onosproject.net.driver,DefaultDriverData,0,87,0,4,0,21,0,11,0,9
onos-api,org.onosproject.net.meter,DefaultMeter.Builder,6,80,1,1,2,19,2,7,1,7
onos-api,org.onosproject.net.meter,MeterRequest.Type,48,0,0,0,4,0,4,0,4,0
onos-api,org.onosproject.net.meter,MeterContext,2,0,0,0,2,0,2,0,2,0
onos-api,org.onosproject.net.meter,MeterOperation,3,71,1,9,1,17,2,9,1,5
onos-api,org.onosproject.net.meter,DefaultMeterRequest,72,0,0,0,22,0,9,0,9,0
onos-api,org.onosproject.net.meter,DefaultBand.Builder,13,36,2,2,4,7,4,4,2,4
onos-api,org.onosproject.net.meter,MeterKey,80,0,10,0,18,0,12,0,7,0
onos-api,org.onosproject.net.meter,DefaultBand,28,39,0,0,10,12,8,3,8,3
onos-api,org.onosproject.net.meter,MeterOperations,12,0,0,0,4,0,2,0,2,0
onos-api,org.onosproject.net.meter,MeterFailReason,148,0,0,0,14,0,4,0,4,0
onos-api,org.onosproject.net.meter,MeterEvent,11,0,0,0,4,0,2,0,2,0
onos-api,org.onosproject.net.meter,MeterOperation.Type,9,39,0,0,0,4,2,2,2,2
onos-api,org.onosproject.net.meter,DefaultMeterRequest.Builder,108,0,2,0,25,0,11,0,10,0
onos-api,org.onosproject.net.meter,MeterStoreResult.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.net.meter,DefaultMeter,29,151,3,11,13,35,11,17,8,13
onos-api,org.onosproject.net.meter,Meter.Unit,9,29,0,0,0,3,2,2,2,2
onos-api,org.onosproject.net.meter,MeterState,58,0,0,0,5,0,4,0,4,0
onos-api,org.onosproject.net.meter,MeterId,8,66,4,6,3,14,5,7,1,6
onos-api,org.onosproject.net.meter,MeterEvent.Type,38,0,0,0,3,0,4,0,4,0
onos-api,org.onosproject.net.meter,Band.Type,9,29,0,0,0,3,2,2,2,2
onos-api,org.onosproject.net.meter,MeterStoreResult,28,0,0,0,8,0,5,0,5,0
onos-api,org.onosproject.net.resource.link,MplsLabelResourceAllocation,0,51,0,6,0,15,0,9,0,6
onos-api,org.onosproject.net.resource.link,BandwidthResourceRequest,51,0,6,0,15,0,9,0,6,0
onos-api,org.onosproject.net.resource.link,DefaultLinkResourceAllocations,116,0,14,0,27,0,16,0,9,0
onos-api,org.onosproject.net.resource.link,LinkResourceEvent.Type,28,0,0,0,2,0,4,0,4,0
onos-api,org.onosproject.net.resource.link,LambdaResourceAllocation,51,0,6,0,15,0,9,0,6,0
