GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-core-net,org.onosproject.net.proxyarp.impl,ProxyArpManager.MessageContext,0,52,0,0,0,16,0,9,0,9
onos-core-net,org.onosproject.net.proxyarp.impl,ProxyArpManager.Protocol,5,33,0,0,0,2,1,3,1,3
onos-core-net,org.onosproject.net.proxyarp.impl,ProxyArpManager,332,387,43,31,71,94,45,28,18,17
onos-core-net,org.onosproject.net.proxyarp.impl,ProxyArpManager.MessageType,5,33,0,0,0,2,1,3,1,3
onos-core-net,org.onosproject.net.proxyarp.impl,ProxyArpManager.new Object() {...},4,33,0,0,0,2,0,1,0,1
onos-core-net,org.onosproject.net.device.impl,BasicDeviceOperator,60,105,6,14,11,23,8,7,2,3
onos-core-net,org.onosproject.net.device.impl,DeviceManager,477,206,73,2,113,49,61,13,23,13
onos-core-net,org.onosproject.net.device.impl,DeviceManager.InternalMastershipListener,23,6,0,0,7,1,2,1,2,1
onos-core-net,org.onosproject.net.device.impl,DeviceManager.new Object() {...},5,39,0,0,0,2,0,1,0,1
onos-core-net,org.onosproject.net.device.impl,DeviceManager.InternalDeviceProviderService,311,299,25,13,54,64,21,11,4,9
onos-core-net,org.onosproject.net.device.impl,DeviceManager.InternalNetworkConfigListener,164,6,26,0,33,1,16,1,3,1
onos-core-net,org.onosproject.net.device.impl,OpticalPortOperator,205,143,19,16,34,29,22,6,4,4
onos-core-net,org.onosproject.net.device.impl,OpticalPortOperator.new Object() {...},5,35,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.net.device.impl,DeviceManager.InternalStoreDelegate,5,6,0,0,2,1,1,1,1,1
onos-core-net,org.onosproject.net.intent.impl.phase,WithdrawRequest.new Object() {...},2,17,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.net.intent.impl.phase,Withdrawn,0,15,0,0,0,5,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl.phase,Compiling,24,74,3,3,2,14,2,4,0,3
onos-core-net,org.onosproject.net.intent.impl.phase,InstallRequest,0,34,0,0,0,7,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl.phase,PurgeRequest,65,0,8,0,19,0,8,0,4,0
onos-core-net,org.onosproject.net.intent.impl.phase,FinalIntentProcessPhase,0,8,0,0,0,4,0,3,0,3
onos-core-net,org.onosproject.net.intent.impl.phase,Corrupt,15,0,0,0,5,0,2,0,2,0
onos-core-net,org.onosproject.net.intent.impl.phase,IntentWorker,0,30,0,2,0,10,0,3,0,2
onos-core-net,org.onosproject.net.intent.impl.phase,IntentProcessPhase,12,50,3,7,2,10,3,5,0,2
onos-core-net,org.onosproject.net.intent.impl.phase,IntentProcessPhase.new Object() {...},3,23,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.net.intent.impl.phase,WithdrawRequest,7,65,2,4,1,11,2,3,0,2
onos-core-net,org.onosproject.net.intent.impl.phase,Withdrawing,0,28,0,0,0,8,0,3,0,3
onos-core-net,org.onosproject.net.intent.impl.phase,Installing,0,34,0,0,0,9,0,3,0,3
onos-core-net,org.onosproject.net.intent.impl.phase,Failed,0,15,0,0,0,5,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentCleanup.new Object() {...},6,41,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.net.intent.impl,IntentCleanup.new TimerTask() {...},8,6,0,0,2,1,1,1,1,1
onos-core-net,org.onosproject.net.intent.impl,IntentInstallationException,12,0,0,0,6,0,3,0,3,0
onos-core-net,org.onosproject.net.intent.impl,PathNotFoundException,12,25,0,0,4,4,1,1,1,1
onos-core-net,org.onosproject.net.intent.impl,IntentAccumulator,0,58,0,2,0,16,0,7,0,6
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.DeviceAvailabilityHandler,6,43,1,1,1,10,1,2,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentManager.InternalIntentProcessor,0,19,0,0,0,4,0,3,0,3
onos-core-net,org.onosproject.net.intent.impl,IntentManager.Direction,9,29,0,0,0,3,2,2,2,2
onos-core-net,org.onosproject.net.intent.impl,IntentCleanup,210,258,29,19,34,62,27,16,7,10
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.InternalDeviceListener,0,46,3,5,0,8,3,3,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentManager.InternalTopoChangeDelegate,6,6,0,0,2,1,1,1,1,1
onos-core-net,org.onosproject.net.intent.impl,IntentManager,218,361,28,10,37,85,31,23,16,19
onos-core-net,org.onosproject.net.intent.impl,CompilerRegistry,0,125,1,13,0,29,1,13,0,7
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.InternalLinkResourceListener,0,17,0,0,0,3,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentManager.InternalStoreDelegate,6,17,0,0,2,5,1,3,1,3
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.ResourceAvailableHandler,1,20,1,1,1,6,1,2,0,2
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.InternalTopologyListener,0,17,0,0,0,3,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker,435,128,59,7,85,30,53,6,22,4
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.TopologyChangeHandler,11,123,7,13,1,25,6,6,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentManager.new Object() {...},2,17,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.net.intent.impl,IntentManager.new FlowRuleOperationsContext() {...},4,141,3,7,2,28,3,5,0,3
onos-core-net,org.onosproject.net.intent.impl,IntentManager.InternalBatchDelegate,0,27,0,0,0,5,0,2,0,2
onos-core-net,org.onosproject.net.intent.impl,IntentRemovalException,12,0,0,0,6,0,3,0,3,0
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.InternalPartitionListener,12,6,0,0,3,1,1,1,1,1
onos-core-net,org.onosproject.net.intent.impl,IntentCompilationException,5,7,0,0,2,4,1,2,1,2
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.new Object() {...},13,87,0,0,0,2,0,1,0,1
onos-core-net,org.onosproject.net.intent.impl,ObjectiveTracker.InternalHostListener,25,6,2,0,5,1,2,1,1,1
onos-core-net,org.onosproject.net.intent.impl,IntentManager.IntentBatchProcess,13,72,0,2,5,20,0,7,0,6
onos-core-net,org.onosproject.cluster.impl,ClusterManager.InternalStoreDelegate,11,0,0,0,3,0,2,0,2,0
onos-core-net,org.onosproject.cluster.impl,ClusterManager,209,0,10,0,42,0,23,0,18,0
onos-core-net,org.onosproject.cluster.impl,MastershipManager.InternalDelegate,0,11,0,0,0,3,0,2,0,2
onos-core-net,org.onosproject.cluster.impl,MastershipManager.new Object() {...},3,23,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.cluster.impl,MastershipManager,299,188,31,3,54,45,26,16,10,14
onos-core-net,org.onosproject.event.impl,CoreEventDispatcher.Watchdog,71,6,4,0,11,1,3,1,1,1
onos-core-net,org.onosproject.event.impl,CoreEventDispatcher,28,86,3,1,6,21,4,5,2,5
onos-core-net,org.onosproject.event.impl,CoreEventDispatcher.DispatchLoop,7,85,0,6,2,24,0,7,0,4
onos-core-net,org.onosproject.event.impl,CoreEventDispatcher.new AbstractEvent() {...},0,5,0,0,0,1,0,1,0,1
onos-core-net,org.onosproject.core.impl,CoreManager,250,0,26,0,54,0,33,0,20,0
onos-core-net,org.onosproject.core.impl,MetricsManagerComponent,9,0,0,0,5,0,3,0,3,0
onos-core-net,org.onosproject.core.impl,StoreBasedIdBlockAllocator,20,0,0,0,6,0,3,0,3,0
onos-core-net,org.onosproject.core.impl,BlockAllocatorBasedIdGenerator,10,62,1,3,0,16,1,3,0,2
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionManager.PolicyOperator,58,0,0,0,5,0,4,0,4,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,ForwardTable.new Object() {...},19,0,0,0,1,0,1,0,1,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionManager.ObjectiveInstaller,110,0,8,0,23,0,8,0,4,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,ForwardUpdateTable,42,0,0,0,11,0,3,0,3,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionManager.PendingNext,18,0,0,0,6,0,3,0,3,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionUtil,951,0,163,0,228,0,106,0,15,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionManager.InnerDeviceListener,55,0,10,0,14,0,10,0,2,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FilterTable.new Object() {...},19,0,0,0,1,0,1,0,1,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,ForwardTable,219,0,11,0,44,0,15,0,9,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionTree.new Object() {...},33,0,0,0,1,0,1,0,1,0
onos-core-net,org.onosproject.net.flowobjective.impl.composition,FlowObjectiveCompositionManager.InnerMastershipListener,37,0,5,0,7,0,5,0,2,0
