GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-core-dist,org.onosproject.store.cfg,GossipComponentConfigStore.InternalPropertiesListener,58,0,4,0,8,0,4,0,2,0
onos-core-dist,org.onosproject.store.cfg,GossipComponentConfigStore,103,0,4,0,20,0,13,0,11,0
onos-core-dist,org.onosproject.store.flow,ReplicaInfoEvent.Type,9,29,0,0,0,3,2,2,2,2
onos-core-dist,org.onosproject.store.flow,ReplicaInfo,47,18,6,0,10,6,6,3,3,3
onos-core-dist,org.onosproject.store.flow,ReplicaInfoEvent,0,13,0,0,0,4,0,2,0,2
onos-core-dist,org.onosproject.store.cluster.impl,ClusterDefinitionManager,297,0,22,0,81,0,27,0,16,0
onos-core-dist,org.onosproject.store.cluster.impl,DistributedClusterStore.new KryoSerializer() {...},19,0,0,0,7,0,2,0,2,0
onos-core-dist,org.onosproject.store.cluster.impl,ClusterDefinition,23,0,0,0,7,0,4,0,4,0
onos-core-dist,org.onosproject.store.cluster.impl,DistributedClusterStore.HeartbeatMessage,16,0,0,0,6,0,3,0,3,0
onos-core-dist,org.onosproject.store.cluster.impl,ClusterMembershipEventType,58,0,0,0,5,0,4,0,4,0
onos-core-dist,org.onosproject.store.cluster.impl,DistributedClusterStore,385,0,20,0,84,0,36,0,26,0
onos-core-dist,org.onosproject.store.cluster.impl,ClusterDefinitionStore,36,0,0,0,10,0,3,0,3,0
onos-core-dist,org.onosproject.store.cluster.impl,DistributedClusterStore.HeartbeatMessageHandler,33,0,0,0,7,0,3,0,3,0
onos-core-dist,org.onosproject.store.cluster.impl,PhiAccrualFailureDetector.History,22,0,0,0,7,0,4,0,4,0
onos-core-dist,org.onosproject.store.cluster.impl,PhiAccrualFailureDetector,146,0,12,0,31,0,13,0,7,0
onos-core-dist,org.onosproject.store.cluster.impl,NodeInfo,125,0,10,0,29,0,15,0,10,0
onos-core-dist,org.onosproject.store.cluster.impl,ClusterManagementMessageSubjects,9,0,0,0,2,0,2,0,2,0
onos-core-dist,org.onosproject.store.cluster.impl,ClusterMembershipEvent,15,0,0,0,6,0,3,0,3,0
onos-core-dist,org.onosproject.store.serializers.custom,MessageSubjectSerializer,16,0,0,0,5,0,3,0,3,0
onos-core-dist,org.onosproject.store.serializers.custom,ClusterMessageSerializer,48,0,0,0,12,0,3,0,3,0
onos-core-dist,org.onosproject.store.serializers.custom,MastershipBasedTimestampSerializer,0,26,0,0,0,8,0,3,0,3
onos-core-dist,org.onosproject.store.serializers.custom,DistributedStoreSerializers,3,32,0,0,1,7,1,1,1,1
onos-core-dist,org.onosproject.store.ecmap,EventuallyConsistentMapImpl,429,968,84,86,82,186,75,61,15,36
onos-core-dist,org.onosproject.store.ecmap,EventuallyConsistentMapImpl.new KryoSerializer() {...},0,61,0,0,0,12,0,2,0,2
onos-core-dist,org.onosproject.store.ecmap,AntiEntropyAdvertisement,34,0,0,0,10,0,4,0,4,0
onos-core-dist,org.onosproject.store.ecmap,EventuallyConsistentMapBuilderImpl,32,126,1,1,10,27,6,8,5,8
onos-core-dist,org.onosproject.store.ecmap,MapValue,60,60,6,4,14,13,7,12,4,10
onos-core-dist,org.onosproject.store.ecmap,MapValue.Digest,43,32,3,3,9,8,8,2,5,2
onos-core-dist,org.onosproject.store.ecmap,MapDbPersistentStore,136,0,6,0,32,0,13,0,10,0
onos-core-dist,org.onosproject.store.ecmap,EventuallyConsistentMapImpl.EventAccumulator,78,0,4,0,17,0,8,0,6,0
onos-core-dist,org.onosproject.store.ecmap,UpdateEntry,40,16,8,0,9,6,7,3,3,3
onos-core-dist,org.onosproject.store.resource.impl,ConsistentLinkResourceStore.new Object() {...},26,0,0,0,1,0,1,0,1,0
onos-core-dist,org.onosproject.store.resource.impl,ConsistentIntentSetMultimap,125,0,12,0,29,0,17,0,11,0
onos-core-dist,org.onosproject.store.resource.impl,ConsistentLinkResourceStore,950,0,60,0,222,0,67,0,36,0
onos-core-dist,org.onosproject.store.link.impl,LinkFragmentId,15,65,0,8,6,16,3,8,3,4
onos-core-dist,org.onosproject.store.link.impl,ECLinkStore,776,0,64,0,140,0,79,0,47,0
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.InternalLinkAntiEntropyAdvertisementListener,28,6,0,0,8,1,1,1,1,1
onos-core-dist,org.onosproject.store.link.impl,LinkAntiEntropyAdvertisement,39,0,0,0,13,0,5,0,5,0
onos-core-dist,org.onosproject.store.link.impl,Provided,66,0,6,0,16,0,9,0,6,0
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStoreMessageSubjects,3,21,0,0,1,4,1,1,1,1
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore,532,920,63,55,110,194,55,49,16,29
onos-core-dist,org.onosproject.store.link.impl,ECLinkStore.new KryoSerializer() {...},19,0,0,0,7,0,2,0,2,0
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.LinkInjectedEventListener,51,6,2,0,13,1,2,1,1,1
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.new KryoSerializer() {...},0,47,0,0,0,11,0,2,0,2
onos-core-dist,org.onosproject.store.link.impl,ECLinkStore.InternalLinkTracker,38,0,4,0,6,0,4,0,2,0
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.SendAdvertisementTask,94,6,10,0,27,1,6,1,1,1
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.LookupLink,2,15,1,1,1,3,1,2,0,2
onos-core-dist,org.onosproject.store.link.impl,InternalLinkEvent,22,15,0,0,8,6,2,3,2,3
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.InternalLinkEventListener,36,6,0,0,9,1,1,1,1,1
onos-core-dist,org.onosproject.store.link.impl,LinkInjectedEvent,37,0,0,0,14,0,5,0,5,0
onos-core-dist,org.onosproject.store.link.impl,InternalLinkRemovedEvent,28,9,0,0,10,4,4,1,4,1
onos-core-dist,org.onosproject.store.link.impl,GossipLinkStore.InternalLinkRemovedEventListener,36,6,0,0,9,1,1,1,1,1
onos-core-dist,org.onosproject.store.statistic.impl,DistributedFlowStatisticStore,520,0,42,0,94,0,45,0,24,0
onos-core-dist,org.onosproject.store.statistic.impl,DistributedStatisticStore.new KryoSerializer() {...},12,0,0,0,6,0,2,0,2,0
onos-core-dist,org.onosproject.store.statistic.impl,StatisticStoreMessageSubjects,14,0,0,0,3,0,2,0,2,0
onos-core-dist,org.onosproject.store.statistic.impl,DistributedStatisticStore,438,0,44,0,89,0,43,0,21,0
onos-core-dist,org.onosproject.store.statistic.impl,DistributedFlowStatisticStore.new KryoSerializer() {...},12,0,0,0,6,0,2,0,2,0
onos-core-dist,org.onosproject.store.statistic.impl,DistributedStatisticStore.InternalStatisticRepresentation,74,0,8,0,15,0,9,0,5,0
onos-core-dist,org.onosproject.store.newresource.impl,ConsistentResourceStore,569,0,50,0,132,0,50,0,25,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,ClusterCommunicationManager,317,0,10,0,61,0,28,0,23,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,ClusterCommunicationManager.InternalMessageConsumer,22,0,0,0,6,0,2,0,2,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,ClusterCommunicationManager.InternalClusterMessageHandler,19,0,0,0,6,0,2,0,2,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,ClusterCommunicationManager.InternalMessageResponder,29,0,0,0,6,0,2,0,2,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,NettyMessagingManager,122,0,14,0,31,0,13,0,6,0
onos-core-dist,org.onosproject.store.cluster.messaging.impl,IOLoopMessagingManager,45,0,2,0,9,0,6,0,5,0
onos-core-dist,org.onosproject.store.app,GossipApplicationStore.InternalAppStatesListener,108,0,12,0,20,0,8,0,2,0
onos-core-dist,org.onosproject.store.app,GossipApplicationStore.InternalState,48,0,0,0,2,0,4,0,4,0
onos-core-dist,org.onosproject.store.app,GossipApplicationStore,685,0,60,0,147,0,71,0,41,0
onos-core-dist,org.onosproject.store.topology.impl,PathKey,52,0,8,0,11,0,7,0,3,0
onos-core-dist,org.onosproject.store.topology.impl,DistributedTopologyStore.InternalBroadcastPointListener,44,0,4,0,6,0,4,0,2,0
onos-core-dist,org.onosproject.store.topology.impl,DistributedTopologyStore,368,0,22,0,64,0,41,0,30,0
onos-core-dist,org.onosproject.store.consistent.impl,AsyncCachingConsistentMap,54,0,4,0,13,0,5,0,3,0
onos-core-dist,org.onosproject.store.consistent.impl,DatabaseDefinition,100,0,4,0,21,0,9,0,7,0
onos-core-dist,org.onosproject.store.consistent.impl,DefaultDatabase.InternalStateMachineWatcher,24,0,0,0,4,0,3,0,3,0
onos-core-dist,org.onosproject.store.consistent.impl,Result.Status,9,29,0,0,0,3,2,2,2,2
onos-core-dist,org.onosproject.store.consistent.impl,DefaultDatabase,431,0,4,0,57,0,66,0,64,0
onos-core-dist,org.onosproject.store.consistent.impl,CopycatCommunicationProtocol,68,0,2,0,17,0,8,0,7,0
onos-core-dist,org.onosproject.store.consistent.impl,CopycatCommunicationProtocol.Client,26,0,0,0,7,0,4,0,4,0
onos-core-dist,org.onosproject.store.consistent.impl,DatabaseManager.InternalApplicationListener,57,6,6,0,9,1,6,1,3,1
onos-core-dist,org.onosproject.store.consistent.impl,MutexExecutionManager.MutexState,160,0,14,0,35,0,16,0,9,0
onos-core-dist,org.onosproject.store.consistent.impl,DefaultConsistentMap,239,0,4,0,45,0,29,0,27,0
