GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-core-serializers,org.onosproject.store.serializers,DefaultPortSerializer,0,77,0,0,0,16,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,NodeIdSerializer,0,18,0,0,0,6,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,DefaultApplicationIdSerializer,31,5,0,0,6,2,2,1,2,1
onos-core-serializers,org.onosproject.store.serializers,IpAddressSerializer,9,32,3,1,3,11,2,3,0,3
onos-core-serializers,org.onosproject.store.serializers,AnnotationsSerializer,0,32,0,0,0,8,0,4,0,4
onos-core-serializers,org.onosproject.store.serializers,ConnectPointSerializer,0,32,0,0,0,8,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,ImmutableMapSerializer,0,29,0,0,0,7,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,DefaultOutboundPacketSerializer,41,5,0,0,8,2,2,1,2,1
onos-core-serializers,org.onosproject.store.serializers,ImmutableSetSerializer,0,33,0,0,0,8,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,DeviceIdSerializer,0,16,0,0,0,6,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,Ip6PrefixSerializer,0,37,0,0,0,12,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,ArraysAsListSerializer,0,48,0,4,0,11,0,5,0,3
onos-core-serializers,org.onosproject.store.serializers,Ip4AddressSerializer,0,28,0,0,0,10,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,HostLocationSerializer,0,40,0,0,0,10,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,MastershipTermSerializer,0,27,0,0,0,8,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,URISerializer,9,4,0,0,3,2,2,1,2,1
onos-core-serializers,org.onosproject.store.serializers,LinkKeySerializer,0,30,0,0,0,8,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,ImmutableListSerializer,0,45,0,4,0,12,0,5,0,3
onos-core-serializers,org.onosproject.store.serializers,Ip4PrefixSerializer,0,37,0,0,0,12,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,KryoSerializer,31,28,1,1,12,9,5,5,4,5
onos-core-serializers,org.onosproject.store.serializers,MacAddressSerializer,0,15,0,0,0,5,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,IpPrefixSerializer,10,41,3,1,3,13,2,3,0,3
onos-core-serializers,org.onosproject.store.serializers,DefaultLinkSerializer,0,75,0,0,0,16,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,PortNumberSerializer,10,24,2,2,2,8,2,3,0,3
onos-core-serializers,org.onosproject.store.serializers,KryoNamespaces,3,1287,0,0,1,89,1,1,1,1
onos-core-serializers,org.onosproject.store.serializers,ProviderIdSerializer,0,34,0,0,0,10,0,3,0,3
onos-core-serializers,org.onosproject.store.serializers,Ip6AddressSerializer,0,28,0,0,0,10,0,3,0,3
