GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-drivers,org.onosproject.driver.handshaker,OFOpticalSwitch13.new Object() {...},12,0,0,0,1,0,1,0,1,0
onos-drivers,org.onosproject.driver.handshaker,CorsaSwitchHandshaker,95,0,12,0,27,0,11,0,5,0
onos-drivers,org.onosproject.driver.handshaker,OFOpticalSwitchImplLINC13,310,0,35,0,91,0,36,0,14,0
onos-drivers,org.onosproject.driver.handshaker,CalientFiberSwitchHandshaker.new Object() {...},93,0,0,0,2,0,1,0,1,0
onos-drivers,org.onosproject.driver.handshaker,OFOpticalSwitchImplLINC13.new Object() {...},75,0,0,0,1,0,1,0,1,0
onos-drivers,org.onosproject.driver.handshaker,OFOpticalSwitch13,187,0,12,0,55,0,18,0,12,0
onos-drivers,org.onosproject.driver.handshaker,NiciraSwitchHandshaker,14,0,2,0,4,0,3,0,2,0
onos-drivers,org.onosproject.driver.handshaker,CalientFiberSwitchHandshaker,205,0,24,0,68,0,27,0,10,0
onos-drivers,org.onosproject.driver.handshaker,DefaultSwitchHandshaker,51,0,4,0,14,0,9,0,7,0
onos-drivers,org.onosproject.driver.ovsdb,OvsdbTunnelConfig,169,0,8,0,47,0,12,0,8,0
onos-drivers,org.onosproject.driver.ovsdb,OvsdbBridgeConfig,273,0,8,0,70,0,19,0,15,0
onos-drivers,org.onosproject.driver.ovsdb,OvsdbControllerConfig,183,3,12,0,38,1,14,1,8,1
onos-drivers,org.onosproject.driver,DefaultDrivers,65,0,2,0,15,0,6,0,5,0
onos-drivers,org.onosproject.driver.pipeline,OLTPipeline.AnnotationProvider,8,0,0,0,5,0,4,0,4,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.InnerGroupListener,98,0,6,0,18,0,5,0,2,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.OfdpaGroupChain,25,0,0,0,7,0,4,0,4,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.DummyGroup,16,0,0,0,4,0,2,0,2,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.GroupChecker,143,0,8,0,25,0,9,0,5,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.GroupChecker,71,0,4,0,18,0,6,0,4,0
onos-drivers,org.onosproject.driver.pipeline,DefaultSingleTablePipeline.new Object() {...},19,0,0,0,1,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,DefaultSingleTablePipeline.new FlowRuleOperationsContext() {...},38,0,4,0,7,0,5,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.SegmentRoutingGroup,19,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.Filter,30,0,0,0,9,0,4,0,4,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new Object() {...},69,0,0,0,3,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.PicaGroup,16,0,0,0,4,0,2,0,2,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OpenVSwitchPipeline,269,0,22,0,66,0,25,0,13,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.new Object() {...},94,0,0,0,4,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,CorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.new FlowRuleOperationsContext() {...},32,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.new FlowRuleOperationsContext() {...},32,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CorsaPipeline,63,0,2,0,18,0,3,0,2,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.new Object() {...},143,0,0,0,4,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline,255,0,0,0,90,0,7,0,7,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline.GroupChainElem,30,0,0,0,10,0,5,0,5,0
onos-drivers,org.onosproject.driver.pipeline,PicaPipeline,939,0,75,0,252,0,56,0,16,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.CorsaGroup,19,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.InnerGroupListener,47,0,4,0,9,0,4,0,2,0
onos-drivers,org.onosproject.driver.pipeline,CpqdOFDPA1Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.CentecV350Group,19,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.Filter,30,0,0,0,9,0,4,0,4,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.InnerGroupListener,68,0,6,0,13,0,5,0,2,0
onos-drivers,org.onosproject.driver.pipeline,OpenVSwitchPipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OpenVSwitchPipeline.new Object() {...},37,0,0,0,2,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.InnerGroupListener,47,0,4,0,9,0,4,0,2,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.new Object() {...},69,0,0,0,3,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.new FlowRuleOperationsContext() {...},32,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline,994,0,71,0,267,0,55,0,17,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline,1333,0,91,0,370,0,69,0,22,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.new FlowRuleOperationsContext() {...},38,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.new FlowRuleOperationsContext() {...},38,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP.new Object() {...},69,0,0,0,3,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTPDell,259,0,22,0,78,0,16,0,5,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},32,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SpringOpenTTP,1545,0,110,0,371,0,80,0,23,0
onos-drivers,org.onosproject.driver.pipeline,OLTPipeline,310,0,21,0,75,0,19,0,8,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,SoftRouterPipeline,920,0,63,0,244,0,49,0,16,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.new Object() {...},94,0,0,0,4,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.new FlowRuleOperationsContext() {...},32,0,0,0,7,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.new FlowRuleOperationsContext() {...},18,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,DefaultSingleTablePipeline,131,0,15,0,37,0,13,0,5,0
onos-drivers,org.onosproject.driver.pipeline,OLTPipeline.new FlowRuleOperationsContext() {...},38,0,4,0,7,0,5,0,3,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.new FlowRuleOperationsContext() {...},22,0,0,0,5,0,3,0,3,0
onos-drivers,org.onosproject.driver.pipeline,OLTPipeline.new Object() {...},19,0,0,0,1,0,1,0,1,0
onos-drivers,org.onosproject.driver.pipeline,CentecV350Pipeline.GroupChecker,79,0,4,0,15,0,6,0,4,0
onos-drivers,org.onosproject.driver.pipeline,OFDPA1Pipeline,1186,0,65,0,321,0,57,0,22,0
onos-drivers,org.onosproject.driver.pipeline,OVSCorsaPipeline.GroupChecker,79,0,4,0,15,0,6,0,4,0
