GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelName,0,54,1,7,0,14,1,9,0,6
onos-incubator-api,org.onosproject.incubator.net.tunnel,OpticalTunnelEndPoint.Type,38,0,0,0,3,0,4,0,4,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,DefaultTunnelDescription,88,0,0,0,28,0,10,0,10,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelId,12,52,0,6,4,13,2,9,2,6
onos-incubator-api,org.onosproject.incubator.net.tunnel,Tunnel.State,9,59,0,0,0,6,2,2,2,2
onos-incubator-api,org.onosproject.incubator.net.tunnel,DefaultTunnelStatistics,51,0,0,0,19,0,7,0,7,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,Tunnel.Type,9,69,0,0,0,7,2,2,2,2
onos-incubator-api,org.onosproject.incubator.net.tunnel,DefaultTunnelStatistics.Builder,43,0,0,0,13,0,7,0,7,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,NetworkTunnelId,64,0,6,0,17,0,11,0,8,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,OpticalLogicId,57,0,6,0,14,0,10,0,7,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,IpTunnelEndPoint,22,29,4,0,7,6,4,4,2,4
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelEvent,6,5,0,0,2,2,1,1,1,1
onos-incubator-api,org.onosproject.incubator.net.tunnel,DefaultOpticalTunnelEndPoint,148,0,16,0,34,0,18,0,10,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelEvent.Type,9,39,0,0,0,4,2,2,2,2
onos-incubator-api,org.onosproject.incubator.net.tunnel,DomainTunnelId,64,0,6,0,17,0,11,0,8,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelEndPointFormatter,46,0,4,0,10,0,5,0,3,0
onos-incubator-api,org.onosproject.incubator.net.tunnel,TunnelSubscription,18,142,5,11,6,28,11,7,6,4
onos-incubator-api,org.onosproject.incubator.net.tunnel,DefaultTunnel,39,174,7,13,11,29,17,7,10,4
onos-incubator-api,org.onosproject.incubator.net.domain,NetworkIntentResource,19,0,0,0,6,0,3,0,3,0
onos-incubator-api,org.onosproject.incubator.net.domain,DomainVertex,65,0,4,0,24,0,8,0,6,0
onos-incubator-api,org.onosproject.incubator.net.domain,IntentPrimitive,9,0,0,0,4,0,2,0,2,0
onos-incubator-api,org.onosproject.incubator.net.domain,IntentDomain,48,0,4,0,17,0,11,0,9,0
onos-incubator-api,org.onosproject.incubator.net.domain,TunnelPrimitive,16,0,0,0,6,0,3,0,3,0
onos-incubator-api,org.onosproject.incubator.net.domain,IntentDomainId,46,0,4,0,15,0,8,0,6,0
onos-incubator-api,org.onosproject.incubator.net.domain,DomainIntentResource,25,0,0,0,8,0,4,0,4,0
onos-incubator-api,org.onosproject.incubator.net.domain,IntentResource,27,0,0,0,10,0,5,0,5,0
onos-incubator-api,org.onosproject.incubator.net.domain,IntentDomainConfig,52,0,0,0,9,0,9,0,9,0
onos-incubator-api,org.onosproject.incubator.net.domain,DomainEdge,68,0,8,0,17,0,9,0,5,0
onos-incubator-api,org.onosproject.incubator.net.intf,Interface,117,0,10,0,24,0,13,0,8,0
onos-incubator-api,org.onosproject.incubator.net.resource.label,DefaultLabelResource,19,61,1,5,8,12,6,6,5,4
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourceId,5,34,1,1,2,9,2,5,1,5
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourcePool,22,194,7,11,7,33,14,7,7,5
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourceEvent.Type,48,0,0,0,4,0,4,0,4,0
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourceEvent,5,0,0,0,2,0,1,0,1,0
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourceRequest.Type,9,29,0,0,0,3,2,2,2,2
onos-incubator-api,org.onosproject.incubator.net.resource.label,LabelResourceRequest,12,98,3,7,4,17,7,6,4,4
onos-incubator-api,org.onosproject.incubator.net.config.basics,ExtraSubjectFactories,10,0,0,0,3,0,2,0,2,0
onos-incubator-api,org.onosproject.incubator.net.config.basics,InterfaceConfig,177,0,16,0,39,0,17,0,9,0
onos-incubator-api,org.onosproject.incubator.net.config.basics,ConfigException,9,0,0,0,4,0,2,0,2,0
onos-incubator-api,org.onosproject.incubator.net.config.basics,ExtraSubjectFactories.new SubjectFactory() {...},8,0,0,0,2,0,2,0,2,0
onos-incubator-api,org.onosproject.incubator.net.virtual,DefaultVirtualDevice,78,0,8,0,13,0,10,0,6,0
onos-incubator-api,org.onosproject.incubator.net.virtual,VirtualNetworkEvent.Type,68,0,0,0,6,0,4,0,4,0
onos-incubator-api,org.onosproject.incubator.net.virtual,VirtualNetworkEvent,11,0,0,0,4,0,2,0,2,0
onos-incubator-api,org.onosproject.incubator.net.virtual,TenantId,72,0,12,0,18,0,13,0,7,0
onos-incubator-api,org.onosproject.incubator.net.virtual,DefaultVirtualNetwork,70,0,8,0,18,0,10,0,6,0
onos-incubator-api,org.onosproject.incubator.net.virtual,NetworkId,66,0,8,0,17,0,11,0,7,0
