GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-incubator-net,org.onosproject.incubator.net.mcast.impl,MulticastRouteManager,35,232,10,6,3,50,12,13,4,13
onos-incubator-net,org.onosproject.incubator.net.mcast.impl,MulticastData,42,52,0,0,10,17,2,8,2,8
onos-incubator-net,org.onosproject.incubator.net.tunnel.impl,TunnelManager,482,0,52,0,106,0,51,0,25,0
onos-incubator-net,org.onosproject.incubator.net.tunnel.impl,TunnelManager.InternalTunnelProviderService,141,0,14,0,36,0,12,0,5,0
onos-incubator-net,org.onosproject.incubator.net.tunnel.impl,TunnelManager.InternalStoreDelegate,13,0,2,0,4,0,3,0,2,0
onos-incubator-net,org.onosproject.incubator.net.config.impl,ExtraNetworkConfigs,58,0,2,0,9,0,6,0,5,0
onos-incubator-net,org.onosproject.incubator.net.config.impl,ExtraNetworkConfigs.new ConfigFactory() {...},13,0,0,0,2,0,2,0,2,0
onos-incubator-net,org.onosproject.incubator.net.resource.label.impl,LabelResourceManager.InternalDeviceListener,22,0,2,0,5,0,3,0,2,0
onos-incubator-net,org.onosproject.incubator.net.resource.label.impl,LabelResourceManager.InternalLabelResourceProviderService,37,0,0,0,11,0,3,0,3,0
onos-incubator-net,org.onosproject.incubator.net.resource.label.impl,LabelResourceManager.InternalLabelResourceDelegate,11,0,0,0,3,0,2,0,2,0
onos-incubator-net,org.onosproject.incubator.net.resource.label.impl,LabelResourceManager,272,0,16,0,47,0,30,0,22,0
onos-incubator-net,org.onosproject.incubator.net.virtual.impl,VirtualNetworkManager.InternalStoreDelegate,11,0,0,0,3,0,2,0,2,0
onos-incubator-net,org.onosproject.incubator.net.virtual.impl,VirtualNetworkManager.InternalVirtualNetworkProviderService,7,0,0,0,3,0,1,0,1,0
onos-incubator-net,org.onosproject.incubator.net.virtual.impl,VirtualNetworkManager,250,0,2,0,59,0,23,0,22,0
onos-incubator-net,org.onosproject.incubator.net.impl,PortStatisticsManager,238,0,20,0,39,0,22,0,12,0
onos-incubator-net,org.onosproject.incubator.net.impl,PortStatisticsManager.DataPoint,12,0,0,0,4,0,1,0,1,0
onos-incubator-net,org.onosproject.incubator.net.impl,PortStatisticsManager.InternalDeviceListener,40,0,8,0,9,0,6,0,2,0
onos-incubator-net,org.onosproject.incubator.net.domain.impl,IntentDomainManager.new Object() {...},40,0,0,0,1,0,1,0,1,0
onos-incubator-net,org.onosproject.incubator.net.domain.impl,IntentDomainManager.InternalConfigListener,41,0,2,0,8,0,4,0,3,0
onos-incubator-net,org.onosproject.incubator.net.domain.impl,IntentDomainManager,289,0,8,0,55,0,29,0,25,0
onos-incubator-net,org.onosproject.incubator.net.meter.impl,MeterManager.InternalMeterProviderService,34,45,3,1,3,13,5,4,3,4
onos-incubator-net,org.onosproject.incubator.net.meter.impl,MeterManager.new Object() {...},2,17,0,0,0,1,0,1,0,1
onos-incubator-net,org.onosproject.incubator.net.meter.impl,MeterManager,77,172,11,3,13,47,15,11,8,11
onos-incubator-net,org.onosproject.incubator.net.meter.impl,MeterManager.InternalMeterStoreDelegate,18,39,2,1,3,7,2,2,0,2
onos-incubator-net,org.onosproject.incubator.net.intf.impl,InterfaceManager.new Object() {...},5,35,0,0,0,1,0,1,0,1
onos-incubator-net,org.onosproject.incubator.net.intf.impl,InterfaceManager,171,190,12,6,35,48,16,21,9,19
onos-incubator-net,org.onosproject.incubator.net.intf.impl,InterfaceManager.InternalConfigListener,0,44,3,4,0,10,3,3,0,2
