GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-of-ctl,org.onosproject.openflow.controller.impl,HandshakeTimeoutHandler,51,0,4,0,14,0,6,0,4,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFMessageEncoder,29,0,4,0,9,0,4,0,2,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OpenFlowControllerImpl.OFMessageHandler,32,0,2,0,8,0,3,0,2,0
onos-of-ctl,org.onosproject.openflow.controller.impl,RoleManager,324,183,41,13,86,50,33,7,5,5
onos-of-ctl,org.onosproject.openflow.controller.impl,OpenflowPipelineFactory,122,0,4,0,26,0,5,0,3,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OpenFlowControllerImpl.OpenFlowSwitchAgent,387,0,36,0,78,0,28,0,10,0
onos-of-ctl,org.onosproject.openflow.controller.impl,RoleManager.new Object() {...},13,95,0,0,0,4,0,1,0,1
onos-of-ctl,org.onosproject.openflow.controller.impl,HandshakeTimeoutHandler.HandshakeTimeoutTask,29,0,6,0,10,0,5,0,2,0
onos-of-ctl,org.onosproject.openflow.controller.impl,HandshakeTimeoutException,3,0,0,0,1,0,1,0,1,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.new Object() {...},208,0,0,0,1,0,1,0,1,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},58,0,2,0,21,0,8,0,7,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},126,0,6,0,31,0,8,0,5,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},57,0,2,0,17,0,6,0,5,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},72,0,4,0,25,0,6,0,4,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},18,0,0,0,6,0,4,0,4,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFMessageDecoder,17,0,2,0,6,0,3,0,2,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},99,0,4,0,33,0,8,0,6,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState,493,0,32,0,129,0,51,0,28,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OpenFlowControllerImpl,838,0,63,0,207,0,69,0,31,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler,580,0,50,0,146,0,44,0,19,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OpenFlowControllerImpl.new Object() {...},121,0,0,0,2,0,1,0,1,0
onos-of-ctl,org.onosproject.openflow.controller.impl,Controller,528,0,26,0,134,0,32,0,19,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},121,0,22,0,32,0,16,0,5,0
onos-of-ctl,org.onosproject.openflow.controller.impl,OFChannelHandler.ChannelState.new OFChannelHandler.ChannelState() {...},92,0,10,0,29,0,15,0,10,0
