GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-pcepio,org.onosproject.pcepio.types,PcepObjectHeader,55,113,4,8,17,30,9,12,7,8
onos-pcepio,org.onosproject.pcepio.types,IPv6TERouterIdofRemoteNodeTlv,42,309,3,15,14,36,9,12,6,6
onos-pcepio,org.onosproject.pcepio.types,IGPMetricTlv,7,139,0,6,3,30,3,12,3,9
onos-pcepio,org.onosproject.pcepio.types,PcepLabelMap,17,28,0,0,5,11,1,8,1,8
onos-pcepio,org.onosproject.pcepio.types,PcepRsvpUserErrorSpec,243,0,18,0,69,0,19,0,10,0
onos-pcepio,org.onosproject.pcepio.types,PcepErrorDetailInfo,3,0,0,0,2,0,1,0,1,0
onos-pcepio,org.onosproject.pcepio.types,ISISAreaIdentifierTlv,13,157,2,10,4,32,5,13,3,9
onos-pcepio,org.onosproject.pcepio.types,RemoteTENodeDescriptorsTlv,55,241,10,21,14,71,11,18,3,9
onos-pcepio,org.onosproject.pcepio.types,NexthopUnnumberedIPv4IDTlv,46,87,1,7,14,19,8,9,7,6
onos-pcepio,org.onosproject.pcepio.types,PathKeySubObject,48,87,1,7,14,19,8,9,7,6
onos-pcepio,org.onosproject.pcepio.types,PcepRsvpIpv4ErrorSpec,54,75,0,0,18,21,7,3,7,3
onos-pcepio,org.onosproject.pcepio.types,TedCapabilityTlv,54,112,5,9,15,33,10,11,6,8
onos-pcepio,org.onosproject.pcepio.types,StatefulLspDbVerTlv,7,80,0,4,3,23,3,11,3,9
onos-pcepio,org.onosproject.pcepio.types,IPv6NeighborAddressTlv,45,306,3,15,15,35,10,12,7,6
onos-pcepio,org.onosproject.pcepio.types,PcepNaiIpv6NodeId,27,48,0,4,7,14,3,7,3,5
onos-pcepio,org.onosproject.pcepio.types,MPLSProtocolMaskTlv,114,112,16,10,23,29,17,11,7,8
onos-pcepio,org.onosproject.pcepio.types,BGPLSidentifierTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,ErrorObjListWithOpen,81,77,12,8,23,24,11,7,3,5
onos-pcepio,org.onosproject.pcepio.types,PceccCapabilityTlv,86,115,12,10,19,30,15,11,7,8
onos-pcepio,org.onosproject.pcepio.types,OpaqueLinkAttributeTlv,4,154,0,8,2,34,2,14,2,10
onos-pcepio,org.onosproject.pcepio.types,TEDefaultMetricTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,OpaqueNodeAttributeTlv,103,52,7,1,20,15,11,5,7,5
onos-pcepio,org.onosproject.pcepio.types,NexthopIPv6addressTlv,42,309,3,15,14,36,9,12,6,6
onos-pcepio,org.onosproject.pcepio.types,PcepLabelDownload,17,28,0,0,5,11,1,8,1,8
onos-pcepio,org.onosproject.pcepio.types,UnreservedBandwidthTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,NodeFlagBitsTlv,155,152,24,18,29,34,25,13,9,8
onos-pcepio,org.onosproject.pcepio.types,PcepRsvpObjectHeader,92,0,0,0,30,0,11,0,11,0
onos-pcepio,org.onosproject.pcepio.types,IPv6TERouterIdofLocalNodeTlv,45,306,3,15,15,35,10,12,7,6
onos-pcepio,org.onosproject.pcepio.types,IPv6SubObject,42,306,3,15,14,35,9,12,6,6
onos-pcepio,org.onosproject.pcepio.types,LinkNameTlv,4,151,0,8,2,33,2,14,2,10
onos-pcepio,org.onosproject.pcepio.types,StatefulRsvpErrorSpecTlv,77,85,15,3,22,24,15,5,6,5
onos-pcepio,org.onosproject.pcepio.types,IPv6InterfaceAddressTlv,45,309,3,15,15,36,10,12,7,6
onos-pcepio,org.onosproject.pcepio.types,IPv4InterfaceAddressTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,LabelSubObject,57,109,2,8,17,22,10,9,8,6
onos-pcepio,org.onosproject.pcepio.types,AdministrativeGroupTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,LinkProtectionTypeTlv,7,122,1,7,3,31,4,12,3,9
onos-pcepio,org.onosproject.pcepio.types,RoutingUniverseTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,PcepNaiIpv4Adjacency,30,77,1,7,8,17,4,8,3,5
onos-pcepio,org.onosproject.pcepio.types,OSPFareaIDsubTlv,8,84,0,4,3,24,3,11,3,9
onos-pcepio,org.onosproject.pcepio.types,IPv4TERouterIdOfLocalNodeTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,IPv4NeighborAddressTlv,11,84,0,4,4,24,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,TELinkDescriptorsTlv,79,239,11,19,20,67,12,17,3,9
onos-pcepio,org.onosproject.pcepio.types,StatefulPceCapabilityTlv,119,262,22,28,14,62,25,18,8,10
onos-pcepio,org.onosproject.pcepio.types,MaximumReservableLinkBandwidthTlv,11,84,0,4,4,24,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,IPv4SubObject,18,159,2,8,8,35,8,11,6,8
onos-pcepio,org.onosproject.pcepio.types,SrEroSubObject,182,194,28,12,49,32,31,9,12,6
onos-pcepio,org.onosproject.pcepio.types,PcepRsvpSpecObjHeader,32,58,0,0,12,18,5,6,5,6
onos-pcepio,org.onosproject.pcepio.types,MaximumLinkBandwidthTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,LinkLocalRemoteIdentifiersTlv,10,123,1,7,4,30,5,12,4,9
onos-pcepio,org.onosproject.pcepio.types,PcepNaiUnnumberedAdjacencyIpv4,46,121,3,9,12,23,6,8,3,5
onos-pcepio,org.onosproject.pcepio.types,TELinkAttributesTlv,71,321,9,34,21,96,12,29,3,9
onos-pcepio,org.onosproject.pcepio.types,StatefulIPv4LspIdentidiersTlv,16,213,4,10,6,42,10,12,6,9
onos-pcepio,org.onosproject.pcepio.types,GmplsCapabilityTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,AutonomousSystemTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,TENodeAttributesTlv,40,265,5,26,10,76,8,22,3,9
onos-pcepio,org.onosproject.pcepio.types,IPv4TERouterIdOfRemoteNodeTlv,11,84,0,4,4,24,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,PcepNaiIpv6Adjacency,40,71,1,7,10,17,4,8,3,5
onos-pcepio,org.onosproject.pcepio.types,SharedRiskLinkGroupTlv,15,169,1,11,4,34,4,14,3,9
onos-pcepio,org.onosproject.pcepio.types,LocalTENodeDescriptorsTlv,55,240,10,21,14,71,11,18,3,9
onos-pcepio,org.onosproject.pcepio.types,PcepLabelDbVerTlv,95,0,4,0,28,0,14,0,12,0
onos-pcepio,org.onosproject.pcepio.types,StatefulLspErrorCodeTlv,11,81,0,4,4,23,4,10,4,8
onos-pcepio,org.onosproject.pcepio.types,NodeNameTlv,4,154,0,8,2,34,2,14,2,10
onos-pcepio,org.onosproject.pcepio.types,SymbolicPathNameTlv,24,95,1,5,8,26,5,11,4,9
onos-pcepio,org.onosproject.pcepio.types,RouterIDSubTlv,13,142,1,7,4,31,4,12,3,9
onos-pcepio,org.onosproject.pcepio.types,NexthopIPv4addressTlv,31,61,0,4,10,17,6,8,6,6
onos-pcepio,org.onosproject.pcepio.types,PcepRsvpIpv6ErrorSpec,134,0,0,0,40,0,10,0,10,0
onos-pcepio,org.onosproject.pcepio.types,PathSetupTypeTlv,46,68,0,4,16,19,8,8,8,6
onos-pcepio,org.onosproject.pcepio.types,PcepNaiIpv4NodeId,20,51,0,4,5,14,3,7,3,5
onos-pcepio,org.onosproject.pcepio.protocol,PcepVersion,35,0,0,0,6,0,5,0,5,0
onos-pcepio,org.onosproject.pcepio.protocol,PcepFactories.new Object() {...},12,0,0,0,1,0,1,0,1,0
onos-pcepio,org.onosproject.pcepio.protocol,PcepFactories,22,11,2,0,5,3,3,2,2,2
onos-pcepio,org.onosproject.pcepio.protocol,PcepFactories.GenericReader,17,27,2,2,2,8,2,2,0,2
onos-pcepio,org.onosproject.pcepio.protocol,PcepType,9,192,0,0,0,8,2,3,2,3
onos-pcepio,org.onosproject.pcepio.exceptions,PcepParseException,61,0,0,0,16,0,7,0,7,0
onos-pcepio,org.onosproject.pcepio.exceptions,PcepTunnelAttributeException,16,0,0,0,8,0,4,0,4,0
onos-pcepio,org.onosproject.pcepio.util,HexDump,84,0,8,0,19,0,7,0,3,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepFecObjectIPv4AdjacencyVer1,114,0,0,0,32,0,12,0,12,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepEroObjectVer1.Builder,81,0,6,0,24,0,11,0,8,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepInitiateMsgVer1.Reader,48,113,6,12,6,32,6,6,0,3
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepFecObjectIPv4UnnumberedAdjacencyVer1,157,0,0,0,45,0,17,0,17,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepLabelRangeObjectVer1.Builder,145,0,12,0,42,0,18,0,12,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepLabelUpdateVer1,134,233,16,28,40,76,21,14,5,6
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepErrorMsgVer1.Reader,72,147,10,20,9,39,10,9,0,4
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepBandwidthObjectVer1,48,67,1,1,14,17,7,4,6,4
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepCloseMsgVer1.Writer,30,85,5,3,6,25,4,3,0,3
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepLabelRangeResvMsgVer1.Writer,35,0,0,0,10,0,2,0,2,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepErrorMsgVer1.Builder,37,0,0,0,12,0,8,0,8,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepAttributeVer1.Builder,87,0,8,0,30,0,14,0,10,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepLspaObjectVer1.Builder,206,0,16,0,61,0,28,0,20,0
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepOpenMsgVer1,17,28,0,0,7,10,4,4,4,4
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepUpdateMsgVer1.Writer,0,63,0,2,0,19,0,3,0,2
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepErrorVer1,124,281,24,24,37,93,24,17,6,11
onos-pcepio,org.onosproject.pcepio.protocol.ver1,PcepMsgPathVer1,27,76,1,5,10,24,6,7,5,5
