GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-lldp-provider,org.onosproject.provider.lldp.impl,SuppressionRulesStore,20,233,4,14,4,54,4,12,0,7
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.new Object() {...},9,59,0,0,0,1,0,1,0,1
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.InternalRoleListener,50,6,6,0,11,1,5,1,2,1
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.LinkPrunerTask,79,6,8,0,17,1,7,1,3,1
onos-lldp-provider,org.onosproject.provider.lldp.impl,LinkDiscovery,65,336,18,12,15,73,15,11,1,10
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.InternalDiscoveryContext,5,31,0,0,1,7,1,6,1,6
onos-lldp-provider,org.onosproject.provider.lldp.impl,SuppressionRules,0,116,1,19,0,34,1,16,0,7
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.InternalPacketProcessor,6,42,7,7,2,10,6,3,0,2
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider,215,408,41,11,27,89,41,10,15,10
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.InternalDeviceListener,111,172,18,13,28,33,15,5,0,2
onos-lldp-provider,org.onosproject.provider.lldp.impl,LLDPLinkProvider.SyncDeviceInfoTask,79,6,6,0,17,1,5,1,2,1
