GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlab-misc,org.onlab.util,AbstractAccumulator,5,158,4,10,1,39,5,13,1,10
onlab-misc,org.onlab.util,Bandwidth,9,73,0,2,4,18,2,12,2,11
onlab-misc,org.onlab.util,ItemNotFoundException,12,0,0,0,6,0,3,0,3,0
onlab-misc,org.onlab.util,Tools,451,79,46,0,97,17,48,8,25,8
onlab-misc,org.onlab.util,Counter,82,117,13,9,14,26,11,11,3,8
onlab-misc,org.onlab.util,KryoNamespace,304,0,10,0,72,0,22,0,17,0
onlab-misc,org.onlab.util,BlockingBoolean,2,65,1,13,0,14,1,13,0,7
onlab-misc,org.onlab.util,KryoNamespace.Builder,198,0,12,0,34,0,14,0,8,0
onlab-misc,org.onlab.util,ByteArraySizeHashPrinter,0,47,0,4,0,13,0,6,0,4
onlab-misc,org.onlab.util,Spectrum,40,0,0,0,14,0,2,0,2,0
onlab-misc,org.onlab.util,GroupedThreadFactory,0,77,0,4,0,18,0,8,0,6
onlab-misc,org.onlab.util,SharedExecutors.SharedTimer,8,4,0,0,3,2,2,1,2,1
onlab-misc,org.onlab.util,KryoNamespace.RegistrationBlock,29,0,0,0,10,0,4,0,4,0
onlab-misc,org.onlab.util,Tools.DirectoryDeleter,19,0,2,0,8,0,5,0,4,0
onlab-misc,org.onlab.util,Tools.DirectoryCopier,57,0,2,0,11,0,4,0,3,0
onlab-misc,org.onlab.util,AbstractAccumulator.ProcessorTask,23,95,0,6,2,21,0,6,0,3
onlab-misc,org.onlab.util,RetryingFunction,3,38,0,4,1,13,0,4,0,2
onlab-misc,org.onlab.util,Frequency,24,112,0,6,4,22,4,14,4,11
onlab-misc,org.onlab.util,HexString,19,213,3,25,5,38,4,16,1,5
onlab-misc,org.onlab.util,Timer,19,0,4,0,10,0,5,0,3,0
onlab-misc,org.onlab.util,PositionalParameterStringFormatter,3,32,0,4,2,6,1,3,1,1
onlab-misc,org.onlab.util,BoundedThreadPool,9,161,1,5,2,34,2,12,1,10
onlab-misc,org.onlab.util,SharedExecutorService,81,6,0,0,19,3,15,1,15,1
onlab-misc,org.onlab.util,NewConcurrentHashMap,14,0,0,0,4,0,4,0,4,0
onlab-misc,org.onlab.util,SharedExecutors,27,28,2,0,10,9,4,4,3,4
onlab-misc,org.onlab.util,BoundedThreadPool.CallerFeedbackPolicy,31,39,5,3,2,13,3,4,0,3
onlab-misc,org.onlab.util,HexDump,78,0,8,0,17,0,7,0,3,0
onlab-misc,org.onlab.util,RichComparable,2,16,2,2,0,2,2,2,0,2
onlab-misc,org.onlab.util,SlidingWindowCounter,133,0,8,0,31,0,12,0,8,0
onlab-misc,org.onlab.packet.pim,PIMJoinPrune,14,362,2,18,4,82,5,18,3,10
onlab-misc,org.onlab.packet.pim,PIMHelloOption,53,145,5,3,10,40,6,11,2,9
onlab-misc,org.onlab.packet.pim,PIMAddrUnicast,127,113,22,6,30,30,18,6,4,6
onlab-misc,org.onlab.packet.pim,PIMHello,5,139,0,6,2,30,2,9,2,6
onlab-misc,org.onlab.packet.pim,PIMAddrGroup,151,160,21,7,35,40,22,7,8,7
onlab-misc,org.onlab.packet.pim,PIMJoinPrune.JoinPruneGroup,0,19,0,0,0,5,0,1,0,1
onlab-misc,org.onlab.packet.pim,PIMAddrSource,195,185,27,11,45,48,30,7,11,7
onlab-misc,org.onlab.packet,IPv4,856,286,77,5,182,73,63,25,23,24
onlab-misc,org.onlab.packet,IPv6,230,348,25,9,51,81,18,21,2,20
onlab-misc,org.onlab.packet,DHCP,638,226,54,14,170,62,63,10,35,4
onlab-misc,org.onlab.packet,UDP,146,404,13,33,34,88,14,25,3,13
onlab-misc,org.onlab.packet,Data,62,41,8,2,20,13,9,6,5,5
onlab-misc,org.onlab.packet,LLC,54,51,0,0,17,15,5,6,5,6
onlab-misc,org.onlab.packet,ChassisId,49,0,4,0,16,0,9,0,7,0
onlab-misc,org.onlab.packet,TCP,301,449,37,25,53,104,31,28,5,23
onlab-misc,org.onlab.packet,ICMP6,163,324,22,18,38,80,20,14,2,12
onlab-misc,org.onlab.packet,PIM,111,265,14,14,27,62,19,11,6,10
onlab-misc,org.onlab.packet,IpAddress.new Object() {...},2,17,0,0,0,1,0,1,0,1
onlab-misc,org.onlab.packet,IGMPQuery,70,182,8,12,21,41,14,8,6,6
onlab-misc,org.onlab.packet,DHCP.DHCPOptionCode,189,0,0,0,11,0,5,0,5,0
onlab-misc,org.onlab.packet,IpPrefix,14,293,1,32,2,65,1,34,0,18
onlab-misc,org.onlab.packet,DeserializationException,0,4,0,0,0,2,0,1,0,1
onlab-misc,org.onlab.packet,EthType.EtherType,33,174,4,0,5,19,5,5,3,5
onlab-misc,org.onlab.packet,RADIUS,729,0,44,0,151,0,44,0,22,0
onlab-misc,org.onlab.packet,MplsLabel,62,0,10,0,17,0,11,0,6,0
onlab-misc,org.onlab.packet,EAP,289,0,22,0,70,0,28,0,17,0
onlab-misc,org.onlab.packet,IpAddress,78,834,13,92,13,147,11,70,0,27
onlab-misc,org.onlab.packet,MPLS,156,101,12,2,32,22,13,4,6,4
onlab-misc,org.onlab.packet,DHCPOption,63,56,6,6,14,18,8,8,2,8
onlab-misc,org.onlab.packet,Ip4Address,46,95,7,1,9,26,4,10,0,10
onlab-misc,org.onlab.packet,Ip6Address,46,77,7,1,9,21,4,8,0,8
onlab-misc,org.onlab.packet,Ip4Prefix,0,76,0,2,0,15,0,8,0,7
onlab-misc,org.onlab.packet,ONOSLLDP,439,0,22,0,79,0,24,0,13,0
onlab-misc,org.onlab.packet,LLDPOrganizationalTLV,183,87,19,5,42,24,18,6,7,5
onlab-misc,org.onlab.packet,MacAddress,242,187,36,6,29,23,28,8,8,7
onlab-misc,org.onlab.packet,RADIUSAttribute,87,0,22,0,17,0,20,0,9,0
onlab-misc,org.onlab.packet,IGMPGroup,9,28,0,0,3,9,3,3,3,3
onlab-misc,org.onlab.packet,BasePacket,65,45,7,9,20,16,10,7,4,5
onlab-misc,org.onlab.packet,ARP,547,179,33,1,110,41,30,18,13,18
onlab-misc,org.onlab.packet,LLDPTLV,125,58,15,5,34,14,14,7,6,5
onlab-misc,org.onlab.packet,VlanId,33,55,8,6,11,17,7,9,3,6
onlab-misc,org.onlab.packet,EthType,81,12,14,0,19,4,12,2,5,2
onlab-misc,org.onlab.packet,TpPort,60,0,10,0,16,0,11,0,6,0
onlab-misc,org.onlab.packet,Ethernet,808,225,94,8,187,59,69,16,21,13
onlab-misc,org.onlab.packet,IGMP,192,223,21,17,50,60,23,13,6,9
onlab-misc,org.onlab.packet,ICMP,251,59,26,0,61,16,20,6,7,6
onlab-misc,org.onlab.packet,DHCPPacketType,228,0,28,0,40,0,33,0,7,0
onlab-misc,org.onlab.packet,LLDP,284,84,48,8,76,29,34,12,8,7
onlab-misc,org.onlab.packet,IpAddress.Version,5,33,0,0,0,1,1,3,1,3
onlab-misc,org.onlab.packet,Ip6Prefix,0,71,0,2,0,14,0,7,0,6
onlab-misc,org.onlab.packet,PacketUtils,3,77,0,12,2,12,1,9,1,3
onlab-misc,org.onlab.packet,IpPrefix.new Object() {...},2,17,0,0,0,1,0,1,0,1
onlab-misc,org.onlab.packet,EAPOL,204,31,8,0,50,2,15,2,11,2
onlab-misc,org.onlab.packet,IGMPMembership,69,152,9,13,17,35,10,7,1,5
onlab-misc,org.onlab.metrics,EventMetric.new Gauge() {...},11,0,0,0,2,0,2,0,2,0
onlab-misc,org.onlab.metrics,MetricsComponent,40,0,4,0,12,0,5,0,3,0
onlab-misc,org.onlab.metrics,EventMetric,94,0,0,0,22,0,6,0,6,0
onlab-misc,org.onlab.metrics,MetricsUtil,16,0,4,0,7,0,5,0,3,0
onlab-misc,org.onlab.metrics,MetricsManager,168,0,4,0,36,0,19,0,17,0
onlab-misc,org.onlab.metrics,MetricsFeature,9,0,0,0,4,0,2,0,2,0
onlab-misc,org.onlab.packet.ndp,NeighborDiscoveryOptions.Option,0,44,0,0,0,10,0,7,0,7
onlab-misc,org.onlab.packet.ndp,Redirect,111,202,14,12,23,51,13,13,2,11
onlab-misc,org.onlab.packet.ndp,NeighborAdvertisement,137,243,15,13,28,57,14,17,2,15
onlab-misc,org.onlab.packet.ndp,RouterAdvertisement,155,255,18,12,35,65,15,21,2,19
onlab-misc,org.onlab.packet.ndp,RouterSolicitation,43,138,7,11,12,36,9,9,2,7
onlab-misc,org.onlab.packet.ndp,NeighborSolicitation,80,167,11,11,18,43,11,11,2,9
onlab-misc,org.onlab.packet.ndp,NeighborDiscoveryOptions,108,172,17,13,31,43,14,11,2,8
onlab-misc,org.onlab.packet.ipv6,BaseOptions,139,221,17,13,31,57,16,14,2,13
onlab-misc,org.onlab.packet.ipv6,Authentication,181,246,20,12,40,64,18,16,3,15
onlab-misc,org.onlab.packet.ipv6,HopByHopOptions,0,7,0,0,0,3,0,1,0,1
onlab-misc,org.onlab.packet.ipv6,DestinationOptions,0,7,0,0,0,3,0,1,0,1
onlab-misc,org.onlab.packet.ipv6,Routing,176,246,19,13,37,64,17,16,2,15
onlab-misc,org.onlab.packet.ipv6,Fragment,131,218,15,13,32,56,15,14,2,13
onlab-misc,org.onlab.packet.ipv6,EncapSecurityPayload,76,139,10,10,18,40,11,10,2,9
onlab-misc,org.onlab.graph,DijkstraGraphSearch.PathCostComparator,0,33,0,4,0,5,0,4,0,2
onlab-misc,org.onlab.graph,KshortestPathSearch,44,527,12,64,11,118,12,37,0,11
onlab-misc,org.onlab.graph,BellmanFordGraphSearch,0,99,1,11,0,17,1,7,0,2
onlab-misc,org.onlab.graph,TarjanGraphSearch.SCCResult,0,168,0,8,0,38,0,15,0,11
onlab-misc,org.onlab.graph,SuurballeGraphSearch.new Edge() {...},15,21,0,0,1,4,1,3,1,3
onlab-misc,org.onlab.graph,TarjanGraphSearch.VertexData,0,12,0,0,0,5,0,1,0,1
onlab-misc,org.onlab.graph,SuurballeGraphSearch.new GraphPathSearch.Result() {...},15,54,1,3,5,10,5,3,4,2
onlab-misc,org.onlab.graph,AdjacencyListsGraph,0,146,2,10,0,35,2,12,0,8
onlab-misc,org.onlab.graph,SRLGGraphSearch.Subset,2,258,2,28,1,44,2,19,0,6
onlab-misc,org.onlab.graph,SRLGGraphSearch,64,132,7,7,12,32,5,7,0,5
onlab-misc,org.onlab.graph,DepthFirstSearch,0,175,0,24,0,43,0,15,0,3
onlab-misc,org.onlab.graph,MutableAdjacencyListsGraph,67,209,18,12,15,48,18,11,5,9
onlab-misc,org.onlab.graph,DefaultMutablePath,3,230,4,22,0,43,4,23,0,14
onlab-misc,org.onlab.graph,DepthFirstSearch.EdgeType,9,49,0,0,0,2,2,2,2,2
onlab-misc,org.onlab.graph,AbstractEdge,16,60,2,6,6,11,3,7,1,5
onlab-misc,org.onlab.graph,AbstractGraphPathSearch,2,171,3,23,1,38,3,16,0,6
onlab-misc,org.onlab.graph,DijkstraGraphSearch,0,102,0,10,0,22,0,8,0,3
onlab-misc,org.onlab.graph,BreadthFirstSearch,0,113,0,16,0,28,0,10,0,2
onlab-misc,org.onlab.graph,AbstractGraphPathSearch.DefaultResult,19,225,1,37,6,46,6,26,5,8
onlab-misc,org.onlab.graph,SuurballeGraphSearch,21,328,3,23,3,61,5,16,2,6
onlab-misc,org.onlab.graph,Heap,0,273,3,27,0,61,3,26,0,14
onlab-misc,org.onlab.graph,SRLGGraphSearch.new GraphPathSearch.Result() {...},14,45,0,2,4,7,4,3,4,2
onlab-misc,org.onlab.graph,SRLGGraphSearch.new EdgeWeight() {...},0,32,0,2,0,5,0,3,0,2
onlab-misc,org.onlab.graph,DefaultPath,1,142,3,11,0,29,3,12,0,8
onlab-misc,org.onlab.graph,GAPopulation,6,154,1,19,1,32,1,13,0,4
onlab-misc,org.onlab.graph,DisjointPathPair,17,159,12,18,3,29,12,15,1,11
onlab-misc,org.onlab.graph,TarjanGraphSearch,0,108,0,16,0,23,0,11,0,3
onlab-misc,org.onlab.graph,DepthFirstSearch.SpanningTreeResult,0,30,0,0,0,8,0,4,0,4
