GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlab-nio,org.onlab.nio,AbstractMessage,0,6,0,0,0,2,0,2,0,2
onlab-nio,org.onlab.nio,IOLoop,267,20,46,0,80,6,34,2,11,2
onlab-nio,org.onlab.nio,SelectorLoop,75,72,14,4,18,24,11,8,3,7
onlab-nio,org.onlab.nio,IOLoop.NewStreamRequest,15,0,0,0,5,0,1,0,1,0
onlab-nio,org.onlab.nio,MessageStream,118,375,16,26,20,102,21,25,10,15
onlab-nio,org.onlab.nio,SelectorLoop.State,9,49,0,0,0,1,2,2,2,2
onlab-nio,org.onlab.nio,AcceptorLoop,34,71,8,4,11,23,5,6,0,5
onlab-nio,org.onlab.nio.service,DefaultMessageStream,207,0,10,0,48,0,12,0,7,0
onlab-nio,org.onlab.nio.service,DefaultMessage,79,0,0,0,20,0,6,0,6,0
onlab-nio,org.onlab.nio.service,IOLoopMessaging,535,0,20,0,115,0,32,0,22,0
onlab-nio,org.onlab.nio.service,IOLoopMessaging.DefaultAcceptorLoop,34,0,0,0,11,0,2,0,2,0
onlab-nio,org.onlab.nio.service,IOLoopMessaging.DefaultMessageStreamFactory,33,0,0,0,9,0,6,0,6,0
onlab-nio,org.onlab.nio.service,DefaultIOLoop,40,0,0,0,15,0,5,0,5,0
onlab-nio,org.onlab.nio.service,IOLoopMessaging.new RemovalListener() {...},19,0,2,0,4,0,3,0,2,0
