GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlab-stc,org.onlab.stc,ProcessFlow,0,5,0,0,0,2,0,1,0,1
onlab-stc,org.onlab.stc,ScenarioStore,68,260,6,14,12,53,10,19,5,14
onlab-stc,org.onlab.stc,Main.ShutdownHook,12,0,0,0,3,0,2,0,2,0
onlab-stc,org.onlab.stc,Monitor,295,0,20,0,55,0,23,0,13,0
onlab-stc,org.onlab.stc,StepEvent,47,54,4,0,5,12,4,6,2,6
onlab-stc,org.onlab.stc,Coordinator.Status,9,59,0,0,0,2,2,2,2,2
onlab-stc,org.onlab.stc,Scenario,1,78,1,1,0,20,1,6,0,6
onlab-stc,org.onlab.stc,Coordinator.Directive,9,39,0,0,0,2,2,2,2,2
onlab-stc,org.onlab.stc,Main,647,0,58,0,115,0,52,0,22,0
onlab-stc,org.onlab.stc,StepProcessor,90,167,21,13,5,31,15,9,0,7
onlab-stc,org.onlab.stc,Compiler,42,1033,15,67,4,161,14,59,0,32
onlab-stc,org.onlab.stc,MonitorLayout,0,505,1,33,0,76,1,46,0,30
onlab-stc,org.onlab.stc,Main.Listener,18,0,0,0,6,0,4,0,4,0
onlab-stc,org.onlab.stc,Group,0,21,0,0,0,6,0,3,0,3
onlab-stc,org.onlab.stc,Main.Command,58,0,0,0,2,0,4,0,4,0
onlab-stc,org.onlab.stc,MonitorWebSocketServlet,166,0,18,0,40,0,18,0,9,0
onlab-stc,org.onlab.stc,Step,0,124,0,22,0,26,0,20,0,9
onlab-stc,org.onlab.stc,Dependency,0,75,0,8,0,16,0,9,0,5
onlab-stc,org.onlab.stc,StepProcessListener,3,0,0,0,3,0,3,0,3,0
onlab-stc,org.onlab.stc,Coordinator.Delegate,17,51,0,2,3,9,2,6,2,5
onlab-stc,org.onlab.stc,Main.new Object() {...},26,0,0,0,1,0,1,0,1,0
onlab-stc,org.onlab.stc,Main.NullLogger,20,0,0,0,15,0,15,0,15,0
onlab-stc,org.onlab.stc,MonitorLayout.Box,0,113,0,10,0,29,0,18,0,13
onlab-stc,org.onlab.stc,MonitorWebSocketServlet.Pruner,41,0,4,0,11,0,4,0,2,0
onlab-stc,org.onlab.stc,Coordinator,164,317,24,38,34,72,27,30,9,17
onlab-stc,org.onlab.stc,MonitorWebSocket,201,0,14,0,53,0,19,0,12,0
