GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onos-rest,org.onosproject.rest.impl,ApiDocManager,47,0,0,0,13,0,7,0,7,0
onos-rest,org.onosproject.rest.impl,ApiDocRegistrator,10,0,0,0,3,0,1,0,1,0
onos-rest,org.onosproject.rest.resources,StatisticsWebResource,139,116,9,3,29,23,7,4,2,3
onos-rest,org.onosproject.rest.resources,IntentsWebResource,32,201,5,9,5,48,5,8,0,6
onos-rest,org.onosproject.rest.resources,LinksWebResource.new Object() {...},2,17,0,0,0,1,0,1,0,1
onos-rest,org.onosproject.rest.resources,ComponentConfigWebResource,0,133,0,0,0,23,0,10,0,10
onos-rest,org.onosproject.rest.resources,ApiDocResource,310,0,14,0,43,0,18,0,11,0
onos-rest,org.onosproject.rest.resources,HostsWebResource,6,128,0,0,2,26,0,5,0,5
onos-rest,org.onosproject.rest.resources,PathsWebResource,22,45,0,4,4,8,1,6,1,4
onos-rest,org.onosproject.rest.resources,ConfigProvider,1372,0,80,0,279,0,77,0,34,0
onos-rest,org.onosproject.rest.resources,TopologyWebResource,4,244,2,2,2,55,2,12,0,12
onos-rest,org.onosproject.rest.resources,NetworkConfigWebResource,400,0,0,0,74,0,29,0,29,0
onos-rest,org.onosproject.rest.resources,JsonBodyWriter,0,26,0,2,0,7,0,5,0,4
onos-rest,org.onosproject.rest.resources,DevicesWebResource,27,79,0,0,3,11,1,4,1,4
onos-rest,org.onosproject.rest.resources,LinksWebResource.Direction,0,48,0,0,0,4,0,4,0,4
onos-rest,org.onosproject.rest.resources,ConfigProvider.DeviceEventCounter,21,0,4,0,5,0,4,0,2,0
onos-rest,org.onosproject.rest.resources,LinksWebResource,8,88,2,14,2,19,2,11,0,4
onos-rest,org.onosproject.rest.resources,HostsWebResource.InternalHostProvider,6,136,1,5,3,28,3,6,2,4
onos-rest,org.onosproject.rest.resources,ConfigProvider.new Object() {...},40,0,0,0,1,0,1,0,1,0
onos-rest,org.onosproject.rest.resources,IntentsWebResource.DeleteListener,4,28,4,2,1,8,3,2,0,2
onos-rest,org.onosproject.rest.resources,FlowsWebResource,31,240,6,18,7,46,5,15,0,8
onos-rest,org.onosproject.rest.resources,ApplicationsWebResource,4,115,1,1,1,25,1,8,0,8
onos-rest,org.onosproject.rest.resources,ConfigWebResource,51,0,0,0,12,0,3,0,3,0
onos-rest,org.onosproject.rest.resources,ClusterWebResource,75,0,0,0,11,0,4,0,4,0
onos-rest,org.onosproject.rest.exceptions,WebApplicationExceptionMapper,5,6,0,0,1,2,1,2,1,2
onos-rest,org.onosproject.rest.exceptions,ServiceNotFoundMapper,2,3,0,0,1,1,1,1,1,1
onos-rest,org.onosproject.rest.exceptions,EntityNotFoundMapper,0,5,0,0,0,2,0,2,0,2
onos-rest,org.onosproject.rest.exceptions,AbstractMapper,2,52,1,3,0,12,1,5,0,4
onos-rest,org.onosproject.rest.exceptions,IllegalStateExceptionMapper,2,3,0,0,1,1,1,1,1,1
onos-rest,org.onosproject.rest.exceptions,ServerErrorMapper,0,5,0,0,0,2,0,2,0,2
onos-rest,org.onosproject.rest.exceptions,NotFoundMapper,0,5,0,0,0,2,0,2,0,2
onos-rest,org.onosproject.rest.exceptions,BadRequestMapper,2,3,0,0,1,1,1,1,1,1
onos-rest,org.onosproject.rest.exceptions,IllegalArgumentExceptionMapper,0,5,0,0,0,2,0,2,0,2
